ID;EMPRESA;CATEGORIA;DETALHE;IMPACTO;ACAO_RECOMENDADA
"3";"ESCOLA BAIANA DE ADMINISTRAÇÃO";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"4";"PLANSUL PLANEJAMENTO E CONSULTORIA LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"5";"FIBRASA S.A";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"7";"GESTOR SERVICOS";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"8";"Expresso Nepomuceno S/A";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"9";"COTEMON CONSTRUCOES TUBULACOES E MONTAGENS INDUSTRIAIS LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"10";"INDUSTRIA BAIANA DE VIDROS LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"15";"VERZZON EMPREENDIMENTOS LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"22";"CAMATEX CONFECCOES LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"23";"TELLUS INFORMATICA E TELECOMUNICACOES LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
"24";"CONSOLIS SOLUCOES INTELIG LTDA";"Coparticipação sem Política";"Fator Moderador ""Mensalidade + Coparticipação"", porém Política_Coparticipacao está vazia";"Não aplicável política com coparticipação específica; deve permanecer não associada sem inferir padrão";"Decisão comercial: aguardar definição da operadora ou manter em branco"
